Source,Interacted Hosts
10.20.0.165,"92.122.126.218, 209.85.143.148, 92.122.126.26, 209.85.143.149, 92.122.126.58, 69.171.242.12, 66.235.138.19, 69.63.190.10, 66.235.133.62, 157.55.15.126, 88.208.230.170, 64.236.124.229, 74.125.79.118, 66.235.139.121, 92.122.127.32, 64.4.11.160, 2.19.147.191, 92.122.127.26, 207.46.19.190, 195.7.33.37, 65.55.18.18, 209.85.143.104, 2.19.149.115, 64.236.124.228, 4.26.231.254, 10.20.0.111, 94.245.117.45, 10.20.0.130, 94.245.115.205, 157.55.15.32, 92.122.126.232, 94.245.121.177, 239.255.255.250, 209.85.143.101, 92.122.126.211, 212.147.135.166, 64.215.255.122, 216.34.207.180, 178.79.195.246, 2.19.159.139, 212.147.135.190, 213.199.158.13, 94.245.117.52, 80.252.91.41, 89.101.160.4, 209.85.143.19, 62.190.147.60, 209.85.143.100, 46.137.168.128, 74.125.79.102, 199.59.149.232, 92.122.126.235, 209.85.143.165, 109.108.146.107, 184.169.81.33, 74.125.79.100, 2.16.57.55, 92.122.126.224, 193.1.160.37, 92.122.126.130, 2.19.156.20, 209.85.143.120, 10.20.0.255, 92.122.126.216, 92.122.127.240, 209.85.143.154, 199.7.71.190"
209.85.143.19,10.20.0.165
fe80::dd51:53a9:d92:f6ac,ff02::1:2
ff02::1:2,"fe80::c85b:86d2:b524:babb, fe80::dd51:53a9:d92:f6ac, fe80::1def:9dd0:aca8:1af4, fe80::d19a:f49d:21d6:7078, fe80::223:7dff:fe7d:799d, fe80::a93c:bd49:64a5:8c39"
10.20.0.254,"239.255.255.250, 224.0.0.1"
239.255.255.250,"10.20.0.103, 10.20.0.165, 10.20.0.102, 10.20.0.254"
89.101.160.4,10.20.0.165
207.46.19.190,10.20.0.165
64.4.11.160,10.20.0.165
94.245.115.205,10.20.0.165
157.55.15.32,10.20.0.165
213.199.158.13,10.20.0.165
157.55.15.126,10.20.0.165
92.122.126.211,10.20.0.165
94.245.117.52,10.20.0.165
66.235.133.62,10.20.0.165
92.122.126.26,10.20.0.165
